EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, LANGSHYTTAN_D (STAID: 6435).
Blended and updated with sources: 139372 139374 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
139372,19790101,    0,    0
139372,19790102,    0,    0
139372,19790103,    0,    0
139372,19790104,    0,    0
139372,19790105,   14,    0
139372,19790106,    0,    0
139372,19790107,    0,    0
139372,19790108,   24,    0
139372,19790109,    0,    0
139372,19790110,    0,    0
139372,19790111,    0,    0
139372,19790112,  241,    0
139372,19790113,    0,    0
139372,19790114,    7,    0
139372,19790115,    0,    0
139372,19790116,    0,    0
139372,19790117,    0,    0
139372,19790118,    0,    0
139372,19790119,    0,    0
139372,19790120,    0,    0
139372,19790121,    0,    0
139372,19790122,    0,    0
139372,19790123,   49,    0
139372,19790124,   41,    0
139372,19790125,   15,    0
139372,19790126,   51,    0
139372,19790127,    0,    0
139372,19790128,    0,    0
139372,19790129,    0,    0
139372,19790130,    0,    0
139372,19790131,   36,    0
139372,19790201,   32,    0
139372,19790202,    0,    0
139372,19790203,  115,    0
139372,19790204,    0,    0
139372,19790205,    0,    0
139372,19790206,    0,    0
139372,19790207,    0,    0
139372,19790208,    0,    0
139372,19790209,    0,    0
139372,19790210,    0,    0
139372,19790211,    0,    0
139372,19790212,    0,    0
139372,19790213,    0,    0
139372,19790214,    0,    0
139372,19790215,    0,    0
139372,19790216,    0,    0
139372,19790217,    0,    0
139372,19790218,    0,    0
139372,19790219,   44,    0
139372,19790220,    0,    0
139372,19790221,    0,    0
139372,19790222,    0,    0
139372,19790223,    0,    0
139372,19790224,    0,    0
139372,19790225,    0,    0
139372,19790226,    0,    0
139372,19790227,    0,    0
139372,19790228,    0,    0
139372,19790301,    0,    0
139372,19790302,    7,    0
139372,19790303,    0,    0
139372,19790304,    0,    0
139372,19790305,    0,    0
139372,19790306,    0,    0
139372,19790307,    0,    0
139372,19790308,    6,    0
139372,19790309,   34,    0
139372,19790310,   22,    0
139372,19790311,    9,    0
139372,19790312,    0,    0
139372,19790313,   12,    0
139372,19790314,   17,    0
139372,19790315,    6,    0
139372,19790316,    0,    0
139372,19790317,    0,    0
139372,19790318,    0,    0
139372,19790319,    0,    0
139372,19790320,    0,    0
139372,19790321,    0,    0
139372,19790322,   27,    0
139372,19790323,    9,    0
139372,19790324,    0,    0
139372,19790325,    0,    0
139372,19790326,   57,    0
139372,19790327,   18,    0
139372,19790328,    0,    0
139372,19790329,    0,    0
139372,19790330,    0,    0
139372,19790331,    0,    0
139372,19790401,   74,    0
139372,19790402,   57,    0
139372,19790403,   23,    0
139372,19790404,    0,    0
139372,19790405,    0,    0
139372,19790406,    0,    0
139372,19790407,    0,    0
139372,19790408,    0,    0
139372,19790409,    0,    0
139372,19790410,    0,    0
139372,19790411,    0,    0
139372,19790412,    0,    0
139372,19790413,    8,    0
139372,19790414,    0,    0
139372,19790415,    0,    0
139372,19790416,    0,    0
139372,19790417,    0,    0
139372,19790418,    0,    0
139372,19790419,    0,    0
139372,19790420,   18,    0
139372,19790421,    0,    0
139372,19790422,    9,    0
139372,19790423,    8,    0
139372,19790424,  156,    0
139372,19790425,   87,    0
139372,19790426,    4,    0
139372,19790427,    0,    0
139372,19790428,    0,    0
139372,19790429,   68,    0
139372,19790430,  100,    0
139372,19790501,    3,    0
139372,19790502,   66,    0
139372,19790503,    5,    0
139372,19790504,    0,    0
