EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, LELYSTAD (STAID: 597).
Blended and updated with sources: 109000 152489 155427 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
109000,19790101,    0,    0
109000,19790102,    2,    0
109000,19790103,    0,    0
109000,19790104,    0,    0
109000,19790105,    0,    0
109000,19790106,    0,    0
109000,19790107,   66,    0
109000,19790108,   34,    0
109000,19790109,   11,    0
109000,19790110,   10,    0
109000,19790111,   42,    0
109000,19790112,   16,    0
109000,19790113,    6,    0
109000,19790114,    0,    0
109000,19790115,    0,    0
109000,19790116,    0,    0
109000,19790117,    1,    0
109000,19790118,    0,    0
109000,19790119,    0,    0
109000,19790120,    0,    0
109000,19790121,    0,    0
109000,19790122,   15,    0
109000,19790123,   50,    0
109000,19790124,    2,    0
109000,19790125,    4,    0
109000,19790126,    8,    0
109000,19790127,    0,    0
109000,19790128,    0,    0
109000,19790129,    5,    0
109000,19790130,    6,    0
109000,19790131,    3,    0
109000,19790201,  128,    0
109000,19790202,    0,    0
109000,19790203,    0,    0
109000,19790204,    6,    0
109000,19790205,    0,    0
109000,19790206,    0,    0
109000,19790207,   44,    0
109000,19790208,    0,    0
109000,19790209,    0,    0
109000,19790210,    0,    0
109000,19790211,   29,    0
109000,19790212,   46,    0
109000,19790213,  116,    0
109000,19790214,    2,    0
109000,19790215,    0,    0
109000,19790216,    0,    0
109000,19790217,    1,    0
109000,19790218,    0,    0
109000,19790219,    0,    0
109000,19790220,    0,    0
109000,19790221,    0,    0
109000,19790222,   17,    0
109000,19790223,    1,    0
109000,19790224,    0,    0
109000,19790225,    1,    0
