EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, STRAMPROY (STAID: 2525).
Blended and updated with sources: 109308 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
109308,19790101,    1,    0
109308,19790102,   24,    0
109308,19790103,    0,    0
109308,19790104,    0,    0
109308,19790105,    0,    0
109308,19790106,    0,    0
109308,19790107,   23,    0
109308,19790108,   73,    0
109308,19790109,   40,    0
109308,19790110,   51,    0
109308,19790111,   34,    0
109308,19790112,   11,    0
109308,19790113,    5,    0
109308,19790114,    0,    0
109308,19790115,    0,    0
109308,19790116,    0,    0
109308,19790117,    0,    0
109308,19790118,    1,    0
109308,19790119,    0,    0
109308,19790120,   34,    0
109308,19790121,    0,    0
109308,19790122,   48,    0
109308,19790123,   12,    0
109308,19790124,   10,    0
109308,19790125,    5,    0
109308,19790126,   19,    0
109308,19790127,    0,    0
109308,19790128,   13,    0
109308,19790129,    0,    0
109308,19790130,    9,    0
109308,19790131,    1,    0
109308,19790201,   75,    0
109308,19790202,    9,    0
109308,19790203,    0,    0
109308,19790204,    6,    0
109308,19790205,    0,    0
109308,19790206,   21,    0
109308,19790207,   56,    0
109308,19790208,    0,    0
109308,19790209,    0,    0
109308,19790210,    0,    0
109308,19790211,   93,    0
109308,19790212,   18,    0
109308,19790213,   96,    0
109308,19790214,   80,    0
109308,19790215,    0,    0
109308,19790216,    0,    0
109308,19790217,   14,    0
109308,19790218,    0,    0
109308,19790219,    0,    0
109308,19790220,    0,    0
109308,19790221,    0,    0
109308,19790222,   39,    0
109308,19790223,   33,    0
109308,19790224,    0,    0
109308,19790225,    0,    0
109308,19790226,    0,    0
109308,19790227,    0,    0
109308,19790228,    0,    0
109308,19790301,   37,    0
109308,19790302,    7,    0
109308,19790303,   23,    0
109308,19790304,   54,    0
109308,19790305,    0,    0
109308,19790306,    7,    0
109308,19790307,   45,    0
109308,19790308,   10,    0
109308,19790309,  128,    0
109308,19790310,   59,    0
109308,19790311,  103,    0
109308,19790312,    2,    0
109308,19790313,  134,    0
109308,19790314,   87,    0
109308,19790315,   58,    0
109308,19790316,    9,    0
109308,19790317,   30,    0
109308,19790318,  167,    0
109308,19790319,    0,    0
109308,19790320,    0,    0
109308,19790321,   33,    0
109308,19790322,   84,    0
109308,19790323,    0,    0
109308,19790324,   18,    0
109308,19790325,   12,    0
109308,19790326,   13,    0
109308,19790327,   46,    0
109308,19790328,   15,    0
109308,19790329,   18,    0
109308,19790330,   18,    0
109308,19790331,    6,    0
109308,19790401,   15,    0
109308,19790402,   81,    0
109308,19790403,    3,    0
109308,19790404,    4,    0
109308,19790405,    3,    0
109308,19790406,    4,    0
109308,19790407,    0,    0
109308,19790408,    0,    0
109308,19790409,    0,    0
109308,19790410,    0,    0
109308,19790411,   11,    0
109308,19790412,    0,    0
109308,19790413,    0,    0
109308,19790414,    0,    0
109308,19790415,    0,    0
109308,19790416,   30,    0
109308,19790417,    6,    0
109308,19790418,    0,    0
109308,19790419,    2,    0
109308,19790420,   32,    0
109308,19790421,   20,    0
109308,19790422,   29,    0
109308,19790423,   32,    0
109308,19790424,   13,    0
109308,19790425,   24,    0
109308,19790426,    3,    0
109308,19790427,    2,    0
109308,19790428,    9,    0
109308,19790429,   87,    0
109308,19790430,    1,    0
109308,19790501,  130,    0
109308,19790502,   42,    0
109308,19790503,   10,    0
109308,19790504,   13,    0
109308,19790505,   34,    0
109308,19790506,    1,    0
109308,19790507,    0,    0
109308,19790508,    0,    0
109308,19790509,    0,    0
109308,19790510,   55,    0
109308,19790511,  123,    0
109308,19790512,    0,    0
109308,19790513,    0,    0
109308,19790514,    0,    0
109308,19790515,    0,    0
109308,19790516,    1,    0
109308,19790517,    4,    0
109308,19790518,    1,    0
109308,19790519,    2,    0
109308,19790520,    3,    0
109308,19790521,   13,    0
109308,19790522,    8,    0
109308,19790523,   86,    0
109308,19790524,   32,    0
109308,19790525,   14,    0
109308,19790526,   47,    0
109308,19790527,   34,    0
109308,19790528,    0,    0
109308,19790529,   12,    0
109308,19790530,  140,    0
109308,19790531,    0,    0
109308,19790601,    2,    0
109308,19790602,    0,    0
109308,19790603,    0,    0
109308,19790604,   48,    0
109308,19790605,    0,    0
109308,19790606,    7,    0
109308,19790607,    0,    0
109308,19790608,   24,    0
109308,19790609,    0,    0
