EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, SAN_BARTOLOMEO_IN_BOSCO (STAID: 17771).
Blended and updated with sources: 100551 195267 195403 195787 197059 197211 197259 197651 197963 916138 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100551,19790101,    2,    0
100551,19790102,   12,    0
100551,19790103,    7,    0
100551,19790104,    0,    0
100551,19790105,    0,    0
100551,19790106,   19,    0
100551,19790107,    0,    0
100551,19790108,    0,    0
100551,19790109,   22,    0
100551,19790110,    0,    0
100551,19790111,   92,    0
100551,19790112,    6,    0
100551,19790113,    2,    0
100551,19790114,    0,    0
100551,19790115,    0,    0
100551,19790116,    0,    0
100551,19790117,    4,    0
100551,19790118,    0,    0
100551,19790119,    0,    0
100551,19790120,    2,    0
100551,19790121,   54,    0
100551,19790122,   34,    0
100551,19790123,  126,    0
100551,19790124,    2,    0
100551,19790125,    6,    0
100551,19790126,    0,    0
100551,19790127,    4,    0
100551,19790128,    0,    0
100551,19790129,   72,    0
100551,19790130,    4,    0
100551,19790131,    0,    0
100551,19790201,    4,    0
100551,19790202,    0,    0
100551,19790203,    0,    0
100551,19790204,    0,    0
100551,19790205,  101,    0
100551,19790206,    2,    0
100551,19790207,    4,    0
100551,19790208,    0,    0
100551,19790209,   14,    0
100551,19790210,   36,    0
100551,19790211,    2,    0
100551,19790212,   42,    0
100551,19790213,    0,    0
100551,19790214,   16,    0
100551,19790215,    2,    0
100551,19790216,  215,    0
100551,19790217,   84,    0
100551,19790218,   23,    0
100551,19790219,   55,    0
100551,19790220,    0,    0
100551,19790221,    0,    0
100551,19790222,    0,    0
100551,19790223,    0,    0
100551,19790224,    0,    0
100551,19790225,    0,    0
100551,19790226,    0,    0
100551,19790227,    0,    0
100551,19790228,    0,    0
100551,19790301,    6,    0
100551,19790302,    0,    0
100551,19790303,    0,    0
100551,19790304,    0,    0
100551,19790305,    0,    0
100551,19790306,    0,    0
100551,19790307,    0,    0
100551,19790308,   33,    0
100551,19790309,    2,    0
100551,19790310,    0,    0
100551,19790311,    0,    0
100551,19790312,    0,    0
100551,19790313,    0,    0
100551,19790314,    0,    0
100551,19790315,    4,    0
100551,19790316,   56,    0
100551,19790317,    0,    0
100551,19790318,   18,    0
100551,19790319,    2,    0
100551,19790320,   18,    0
100551,19790321,   76,    0
100551,19790322,  322,    0
100551,19790323,    0,    0
100551,19790324,    0,    0
100551,19790325,   10,    0
100551,19790326,   17,    0
100551,19790327,    6,    0
100551,19790328,    0,    0
100551,19790329,   23,    0
100551,19790330,   24,    0
100551,19790331,    0,    0
100551,19790401,   16,    0
100551,19790402,    2,    0
100551,19790403,    0,    0
100551,19790404,   14,    0
