EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, SODERBY-KARLSANG_D (STAID: 6416).
Blended and updated with sources: 139302 139314 139336 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
139336,19790101,-9999,    9
139336,19790102,-9999,    9
139336,19790103,-9999,    9
139336,19790104,-9999,    9
139336,19790105,-9999,    9
139336,19790106,-9999,    9
139336,19790107,-9999,    9
139336,19790108,-9999,    9
139336,19790109,-9999,    9
139336,19790110,-9999,    9
139336,19790111,-9999,    9
139336,19790112,-9999,    9
139336,19790113,-9999,    9
139336,19790114,-9999,    9
139336,19790115,-9999,    9
139336,19790116,-9999,    9
139336,19790117,-9999,    9
139336,19790118,-9999,    9
139336,19790119,-9999,    9
139336,19790120,-9999,    9
139336,19790121,-9999,    9
139336,19790122,-9999,    9
139336,19790123,-9999,    9
139336,19790124,-9999,    9
139336,19790125,-9999,    9
139336,19790126,-9999,    9
139336,19790127,-9999,    9
139336,19790128,-9999,    9
139336,19790129,-9999,    9
139336,19790130,-9999,    9
139336,19790131,-9999,    9
139336,19790201,-9999,    9
139336,19790202,-9999,    9
139336,19790203,-9999,    9
139336,19790204,-9999,    9
139336,19790205,-9999,    9
139336,19790206,-9999,    9
139336,19790207,-9999,    9
139336,19790208,-9999,    9
139336,19790209,-9999,    9
139336,19790210,-9999,    9
139336,19790211,-9999,    9
139336,19790212,-9999,    9
139336,19790213,-9999,    9
139336,19790214,-9999,    9
139336,19790215,-9999,    9
139336,19790216,-9999,    9
139336,19790217,-9999,    9
139336,19790218,-9999,    9
139336,19790219,-9999,    9
139336,19790220,-9999,    9
139336,19790221,-9999,    9
139336,19790222,-9999,    9
139336,19790223,-9999,    9
139336,19790224,-9999,    9
139336,19790225,-9999,    9
139336,19790226,-9999,    9
139336,19790227,-9999,    9
