EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, ZUID-SCHARWOUDE (STAID: 20652).
Blended and updated with sources: 108994 109232 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
108994,19790101,    4,    0
108994,19790102,   77,    0
108994,19790103,    9,    0
108994,19790104,    0,    0
108994,19790105,    0,    0
108994,19790106,    0,    0
108994,19790107,   51,    0
108994,19790108,   18,    0
108994,19790109,    0,    0
108994,19790110,   62,    0
108994,19790111,   20,    0
108994,19790112,   31,    0
108994,19790113,    5,    0
108994,19790114,    0,    0
108994,19790115,    0,    0
108994,19790116,    4,    0
108994,19790117,    0,    0
108994,19790118,    0,    0
108994,19790119,    0,    0
108994,19790120,   90,    0
108994,19790121,    0,    0
108994,19790122,   25,    0
108994,19790123,   47,    0
108994,19790124,   24,    0
108994,19790125,   51,    0
108994,19790126,   37,    0
108994,19790127,    0,    0
108994,19790128,   19,    0
108994,19790129,    0,    0
108994,19790130,   14,    0
108994,19790131,   14,    0
108994,19790201,  185,    0
108994,19790202,    0,    0
108994,19790203,    0,    0
108994,19790204,    0,    0
108994,19790205,    0,    0
108994,19790206,    0,    0
108994,19790207,   33,    0
108994,19790208,    0,    0
108994,19790209,    0,    0
108994,19790210,    0,    0
108994,19790211,   30,    0
108994,19790212,   78,    0
108994,19790213,  110,    0
108994,19790214,   12,    0
108994,19790215,    4,    0
108994,19790216,    0,    0
108994,19790217,    4,    0
108994,19790218,    0,    0
108994,19790219,    2,    0
108994,19790220,    0,    0
108994,19790221,    0,    0
108994,19790222,   23,    0
108994,19790223,   19,    0
108994,19790224,    0,    0
108994,19790225,    0,    0
108994,19790226,    0,    0
108994,19790227,    0,    0
108994,19790228,   10,    0
108994,19790301,   31,    0
108994,19790302,   13,    0
108994,19790303,   83,    0
108994,19790304,    0,    0
108994,19790305,    0,    0
108994,19790306,   12,    0
108994,19790307,   11,    0
108994,19790308,   45,    0
108994,19790309,   54,    0
108994,19790310,   34,    0
108994,19790311,   12,    0
108994,19790312,    0,    0
108994,19790313,    1,    0
108994,19790314,    3,    0
108994,19790315,  168,    0
108994,19790316,   68,    0
108994,19790317,    0,    0
108994,19790318,    0,    0
108994,19790319,    0,    0
108994,19790320,   22,    0
108994,19790321,   26,    0
108994,19790322,   22,    0
108994,19790323,    0,    0
108994,19790324,   49,    0
108994,19790325,   32,    0
108994,19790326,   35,    0
108994,19790327,   61,    0
108994,19790328,    6,    0
108994,19790329,   18,    0
108994,19790330,    0,    0
108994,19790331,    0,    0
108994,19790401,   27,    0
108994,19790402,   71,    0
108994,19790403,   44,    0
108994,19790404,    0,    0
108994,19790405,  107,    0
108994,19790406,   31,    0
108994,19790407,    0,    0
108994,19790408,    0,    0
108994,19790409,    0,    0
108994,19790410,    0,    0
108994,19790411,    1,    0
108994,19790412,   68,    0
108994,19790413,    0,    0
108994,19790414,    0,    0
108994,19790415,   26,    0
108994,19790416,    8,    0
108994,19790417,    1,    0
108994,19790418,    0,    0
108994,19790419,   41,    0
108994,19790420,   68,    0
108994,19790421,   26,    0
108994,19790422,   36,    0
108994,19790423,    0,    0
108994,19790424,   57,    0
108994,19790425,    1,    0
108994,19790426,   19,    0
108994,19790427,    0,    0
108994,19790428,   52,    0
108994,19790429,  106,    0
108994,19790430,   26,    0
108994,19790501,  221,    0
108994,19790502,   91,    0
108994,19790503,   11,    0
108994,19790504,    0,    0
108994,19790505,    7,    0
108994,19790506,    0,    0
108994,19790507,    0,    0
108994,19790508,    0,    0
108994,19790509,    0,    0
108994,19790510,   58,    0
108994,19790511,   19,    0
108994,19790512,    0,    0
108994,19790513,    0,    0
108994,19790514,    0,    0
108994,19790515,    0,    0
108994,19790516,    0,    0
108994,19790517,    8,    0
108994,19790518,    0,    0
108994,19790519,    0,    0
108994,19790520,    5,    0
108994,19790521,    9,    0
108994,19790522,   12,    0
108994,19790523,   63,    0
108994,19790524,   34,    0
108994,19790525,   30,    0
108994,19790526,   39,    0
108994,19790527,   22,    0
108994,19790528,  120,    0
108994,19790529,  197,    0
108994,19790530,   92,    0
108994,19790531,  100,    0
